,Unnamed: 0,question,answer,source,length
839,839,What constitutes the concept of a 'corresponding new bank'?,The term 'corresponding new bank' identifies a new banking entity formed under section 3 of either the Banking Companies (Acquisition and Transfer of Undertakings) Act of 1970 or the Banking Companies (Acquisition and Transfer of Undertakings) Act of 1980.,BANKI15122014.pdf,256
840,840,Can you define the term 'Deposit Insurance Corporation'?,It refers to the establishment formed under the Deposit Insurance Corporation Act of 1961 for the insurance of deposits in banks.,BANKI15122014.pdf,129
841,841,"What does the 'Export-Import Bank of India', or Exim Bank, imply?",It is an establishment made possible by section 3 of the Export-Import Bank of India Act established in 1981 to pursue and oversee foreign trade within the country.,BANKI15122014.pdf,164
842,842,Please define 'gold' and its related applications.,"Gold, as a term, applies to a particular quality and usage and has been described to include legal or non-legal coins comprising gold substances or even bulks of refined gold.",BANKI15122014.pdf,175
843,843,What does the concept of a 'managing director' mean within the context of banking institutions?,"The managing director is a director entrusted with handling, under the supervision of the Board, the day to day affairs, as specified either by an agreement with the banking entity, the company's general assembly, the memos of the association, or other executive orders.",BANKI15122014.pdf,270
844,844,How would you describe 'substantial interest' in a business setup as referred to in the banking companies Act?,"Substantial interest refers to the involvement of an individual in partnership, in agreement with business operations and includes being married or the child to an existing business associate.",BANKI15122014.pdf,192
845,845,Please explain what the 'National Housing Bank' entails.,"It is a bank formed according to Section 3 of the National Housing Bank Act, and its objective is primarily to look after and regulate other banks that focus on housing-related services and amenities available to the community.",BANKI15122014.pdf,227
846,846,"What is the definition of 'Development Bank' according to the Industrial Development Bank of India Act, 1964?","Development Bank means the Industrial Development Bank of India established under Section 3 of the Industrial Development Bank of India Act, 1964 (18 of 1964).",BANKI15122014.pdf,159
847,847,"What are 'approved securities' according to the Indian Trusts Act, 1882?","Approved securities means securities in which a trustee may invest money under clause (a), clause (b), clause (bb), clause (c) or clause (d) of Section 20 of the Indian Trusts Act, 1882 (2 of 1882), and such of the securities authorised by the Central Government under clause (f) of Section 20 of the Indian Trusts Act, 1882 (2 of 1882), as may be prescribed.",BANKI15122014.pdf,359
848,848,"What is the effect of the Act on the memorandum, articles, etc. of a banking company?","The provisions of this Act shall have effect notwithstanding anything to the contrary contained in the memorandum or articles of a banking company, or in any agreement executed by it, or in any resolution passed by the banking company in general meeting or by its Board of Directors.",BANKI15122014.pdf,283
849,849,"In what forms of business can a banking company engage in, in addition to the business of banking?","A banking company may engage in any one or more of the following forms of business, namely: the borrowing, raising, or taking up of money; the lending or advancing of money; the drawing, making, accepting, discounting, buying, selling, collecting and dealing in bills of exchange, etc.",BANKI15122014.pdf,285
850,850,"What is the restriction on the use of words 'bank', 'banker', 'banking' or 'banking company'?","No company other than a banking company shall use as part of its name or in connection with its business any of the words 'bank', 'banker' or 'banking', and no company shall carry on the business of banking in India unless it uses as part of its name at least one of such words.",BANKI15122014.pdf,278
851,851,What is the prohibition on trading by a banking company?,"Notwithstanding anything contained in section 6 or in any contract, no banking company shall directly or indirectly deal in the buying or selling or bartering of goods, except in connection with the realisation of security given to or held by it.",BANKI15122014.pdf,246
852,852,What is the explanation for the term 'goods' in the context of prohibition of trading?,"For the purposes of section 8, 'goods' means every kind of movable property, other than actionable claims, stocks, shares, money, bullion and specie, and all instruments referred to in clause (a) of sub-section (1) of section 6.",BANKI15122014.pdf,228
853,853,What is the restriction on holding non-banking assets by a banking company?,"Notwithstanding anything contained in section 6, no banking company shall hold any immovable property howsoever acquired, except such as is required for its own use, for any period exceeding seven years from the acquisition thereof or from the commencement of this Act, whichever is later.",BANKI15122014.pdf,289
854,854,Can a banking company engage in any form of business other than those referred to in sub-section (1) of section 6?,"No, no banking company shall engage in any form of business other than those referred to in sub-section (1) of section 6.",BANKI15122014.pdf,121
855,855,What is the authority of the Central Government to specify forms of business for banking companies?,"The Central Government may, by notification in the Official Gazette, specify any other form of business which it considers lawful for a banking company to engage in.",BANKI15122014.pdf,165
856,856,What is the time limit within which a banking company must dispose of property acquired under the provisions of Section 9 of the Act?,"Within 7 years from the date of acquisition or within such extended period as may be provided for, up to 3 years before making fresh commencement on order/mandated grounds/b",BANKI15122014.pdf,173
857,857,Who cannot be employed as the Managing Agent or Auditor of any banking company?,"Any person who is or has been adjudicated insolvent, or who has suspended payment of his/her debts, or who has made a composition with their creditors.",BANKI15122014.pdf,151
858,858,What is the extent to which the Reserve Bank may extend the period for disposal of property under Section 9 of the Act?,Up to 5 years where it is satisfied that such an extension would be in the interests of the depositors of the banking company.,BANKI15122014.pdf,126
859,859,Who cannot be employed by a banking company to deal with its property?,"A person whose term of office as a person managing the company exceeds 5 years at any one time, or whose remuneration is in the opinion of the Reserve Bank excessive.",BANKI15122014.pdf,166
860,860,"What are the main requirements for Board of Directors in banking companies with respect to knowledge, skill and expertise?","At least 51 percent of the Board members must have special knowledge of accountancy, agriculture and rural economy, banking, co-operation, economics, finance, or other relevant areas, and at least 2 members must have knowledge in agriculture and rural economy, co-operation, or small-scale industry.",BANKI15122014.pdf,299
861,861,What restrictions are placed on Directors and Managing Directors of banking companies with respect to their external professional activities?,"They may not engage in other trade or commerce unrelated to banking, unless it is a small-scale industrial concern, and Managing Directors cannot be proprietor of trading or industrial concerns that are not small-scale.",BANKI15122014.pdf,219
862,862,How long can a part-time Director of a banking company hold office continuously?,Not more than 8 years.,BANKI15122014.pdf,22
863,863,Can a Managing Director removed from office be appointed as a Director in the same banking company?,No. Removed Managing Directors are also disqualified for being Directors for at least 4 years subsequent.,BANKI15122014.pdf,105
865,865,What is the provision for appointment of a director in absence of election under Section 10A?,"Where any directorship vacated in a banking company cannot be filled up by the Members byholding an-election and no such election-is held within sixty days from the date of occurrence of-the vacancy, the Board of Directors shall fill up the vacanc y, provided that the person to be appointed shall be eligible to be elected as a director and shall hold office only until the date up to which his predecessor would have held office, if the election had not been held.",BANKI15122014.pdf,466
866,866,What is the provision for removal or-reappointment of directors?,"Every appointment, removal or re-contitution duly made, and every election duly-held under Section 10A shall be final and-shall not be called into question in any court.. Everydirector-elected, or as the case-may be, appointed under this section shall hold office until the date-up to which his predecessor would have held office if the election had not been held.""",BANKI15122014.pdf,365
867,867,Who shall be responsible for the management of whole-time affairs of a banking company?,"The chairman of the Board of Directors appointed on a whole-time basis shall be entrusted with the management of the whole of the affairs of the banking company, subject to the superintendence, control and direction of the Board of Directors.",BANKI15122014.pdf,242
868,868,What are the conditions for appointment of Managing Director of a banking company?,Every Managing Director shall be appointed by the Board of Directors subject to the previous approval of the Reserve Bank and shall hold office for such period not exceeding five years as the Board of Directors may fix.,BANKI15122014.pdf,219
869,869,Can a Chairman appointed on whole-time basis simultaneously be a Director of any other company?,"Provided that nothing in this sub-section shall be construed as prohibiting a Chairman from being a Director of a subsidiary of the banking company or a Director of a company registered under Section 25 of the Companies Act, 1956.",BANKI15122014.pdf,230
870,870,What are the grounds for disqualification for being Chairman who is appointed on whole-time basis or Managing Director?,"A person shall be disqualified for being a Chairman who is appointed on whole time basis or Managing Director if he is a Director of any company other than a company referred to in the proviso to sub-section (2), or is engaged in any other business or vocation.",BANKI15122014.pdf,261
871,871,Can a Chairman of the Board of Directors or Managing Director of a banking company resign his office?,"Yes, a Chairman of the Board of Directors appointed on whole-time basis or Managing Director of a banking company may, by writing under his hand addressed to the company, resign his office.",BANKI15122014.pdf,189
872,872,What is the provision for continuation of office of Chairman who is appointed on whole-time basis or Managing Director?,"Where the term of office of Chairman who is appointed on whole-time basis or Managing Director has come to an end, either by reason of his resignation or by reason of expiry of the period of his office, he shall, subject to the approval of the Reserve Bank, continue in office until his successor assumes office.",BANKI15122014.pdf,312
873,873,Can the Reserve Bank remove Chairman who is appointed on whole-time basis or Managing Director?,"Yes, the Reserve Bank may, after giving to such person and to the banking company a reasonable opportunity of being heard by order in writing, require the banking company to elect or appoint any other person as the Chairman who is appointed on whole-time basis or Managing Director.",BANKI15122014.pdf,282
874,874,Can the Reserve Bank permit Chairman who is appointed on whole-time basis or Managing Director to undertake part-time honorary work?,"Yes, the Reserve Bank may, if in its opinion it is necessary in the public interest so to do, permit Chairman who is appointed on whole-time basis or Managing Director to undertake such part-time honorary work as is not likely to interfere with his duties as such Chairman or Managing Director.",BANKI15122014.pdf,294
875,875,"According to section 10A, who shall be deemed to be the director of the banking company?",The chairman of the board of directors appointed on a whole-time basis or a managing director.,BANKI15122014.pdf,94
876,876,"According to section 10C, who is not required to hold qualification shares in a banking company?",Chairman of the board of directors who is appointed on a whole-time basis or a managing director of a banking company and a director of a banking company appointed by the Reserve Bank under section 10A.,BANKI15122014.pdf,202
877,877,What is the minimum paid-up capital and reserves required for a banking company incorporated outside India to carry on business in India?,"The aggregate value of its paid-up capital and reserves shall not be less than fifteen lakhs of rupees and if it has a place or places of business in the city of Bombay or Calcutta or both, twenty lakhs of rupees.",BANKI15122014.pdf,213
878,878,"According to section 10D, what happens to a director or managing director who is removed from office in pursuance of section 10A or section 10B?","Such person shall not be entitled to claim any compensation for the loss or termination of office, notwithstanding anything contained in any law or in any contract, memorandum or articles of association.",BANKI15122014.pdf,203
879,879,"According to section 11, what is the requirement for the aggregate value of paid-up capital and reserves for a banking company having places of business in more than one State?","The aggregate value of its paid-up capital and reserves shall not be less than five lakhs of rupees, and if any such place or places of business is or are situated in the city of Bombay or Calcutta, ten lakhs of rupees.",BANKI15122014.pdf,219
880,880,Who can declare by order in writing that the provisions of sub-clause (ii) of clause (b) of sub-section (2) of section 11 shall not apply to a banking company incorporated outside India for a specified period?,The Central Government on the recommendation of the Reserve Bank.,BANKI15122014.pdf,65
881,881,"According to section 11, what is the minimum value of paid-up capital required for a banking company that commences banking business for the first time after the commencement of the Banking Companies (Amendment) Act, 1962?",Five lakhs of rupees.,BANKI15122014.pdf,21
882,882,What happens to the amount deposited by a banking company incorporated outside India with the Reserve Bank under sub-section (2) of section 11 in the event of the company ceasing to carry on banking business in India?,The amount shall be an asset of the company on which the claims of all the creditors of the company in India shall be a first charge.,BANKI15122014.pdf,133
883,883,"According to section 11, what does the term ""place of business"" mean?","Any office, sub-office, sub-pay office and any place of business at which deposits are received, cheques cashed, or moneys lent.",BANKI15122014.pdf,128
884,884,"According to section 11, who makes the final determination of the aggregate value of the paid-up capital and reserves of a banking company in case of a dispute?",The Reserve Bank.,BANKI15122014.pdf,17
885,885,What are the conditions that a banking company must satisfy to carry on business in India?,"The subscribed capital of the company must be not less than one-half of the authorised capital, and the paid-up capital must be not less than one-half of the subscribed capital.",BANKI15122014.pdf,177
886,886,What is the composition of the capital of a banking company?,"The capital of a banking company consists of equity shares only or equity shares and preference shares, subject to certain guidelines and conditions.",BANKI15122014.pdf,149
887,887,What is the limit on voting rights of shareholders in a banking company?,"No person holding shares in a banking company can exercise voting rights in excess of 10% of the total voting rights of all shareholders, although the Reserve Bank may increase this ceiling to 26% in a phased manner.",BANKI15122014.pdf,216
888,888,What is the requirement for a banking company to furnish returns to the Reserve Bank?,"Every chairman, managing director or chief executive officer of a banking company must furnish returns to the Reserve Bank containing full particulars of their holding of shares in the company and any changes thereto.",BANKI15122014.pdf,217
889,889,Under what circumstances can the Reserve Bank require a banking company to call a general meeting to elect new directors?,The Reserve Bank may require a banking company to call a general meeting to elect new directors if it is necessary in the public interest or in the interest of banking policy.,BANKI15122014.pdf,175
890,890,What is the procedure for acquiring shares or voting rights in a banking company?,"No person can acquire or agree to acquire shares or voting rights in a banking company without the previous approval of the Reserve Bank, and the applicant must make an application to the Reserve Bank for approval.",BANKI15122014.pdf,214
891,891,What is the definition of an associate enterprise for the purposes of acquiring shares or voting rights in a banking company?,"An associate enterprise means a company that is a holding company or subsidiary company of the applicant, or a joint venture of the applicant, or exercises significant influence on the applicant in taking financial or policy decisions.",BANKI15122014.pdf,235
892,892,What is the definition of a relative for the purposes of acquiring shares or voting rights in a banking company?,"A relative has the meaning assigned to it in section 6 of the Companies Act, 1956.",BANKI15122014.pdf,82
893,893,What is the definition of acting in concert for the purposes of acquiring shares or voting rights in a banking company?,"Persons are deemed to be acting in concert if they cooperate to acquire or agree to acquire shares or voting rights in excess of the percentage mentioned in the Act, pursuant to an agreement or understanding.",BANKI15122014.pdf,208
894,894,What is the definition of a joint venture for the purposes of acquiring shares or voting rights in a banking company?,A joint venture means a legal entity in the nature of a partnership engaged in a joint undertaking of a particular transaction for mutual profit or an association of persons or companies jointly undertaking some commercial enterprise.,BANKI15122014.pdf,234
895,895,What are the circumstances under which the Reserve Bank may not permit the acquisition of shares or voting rights in a banking company?,"The Reserve Bank may not permit the acquisition of shares or voting rights in a banking company if it is of the opinion that such acquisition will result in a significant change in the management or control of the company, or if it considers it necessary in the interests of the depositors or for maintaining confidence in the banking system.",BANKI15122014.pdf,342
896,896,Can the Reserve Bank impose conditions on the approval for acquisition of shares in a banking company?,"Yes, the Reserve Bank may impose conditions on the approval for acquisition of shares in a banking company, including the condition that any further acquisition of shares shall require prior approval of the Reserve Bank.",BANKI15122014.pdf,220
897,897,What is the time limit for the Reserve Bank to take a decision on an application for acquisition of shares in a banking company?,The Reserve Bank shall take a decision on an application for acquisition of shares in a banking company within a period of 90 days from the date of receipt of the application.,BANKI15122014.pdf,175
898,898,Can a banking company pay dividend on its shares without writing off capitalized expenses?,"No, a banking company cannot pay dividend on its shares until all its capitalized expenses (including preliminary expenses, organization expenses, share-selling commission, brokerage, amounts of losses incurred and any other item of expenditure not represented by tangible assets) have been completely written off.",BANKI15122014.pdf,314
899,899,Are there any exceptions to the restriction on payment of dividend on shares?,"Yes, there are exceptions to the restriction on payment of dividend on shares, such as depreciation in the value of investments in approved securities, depreciation in the value of investments in shares, debentures or bonds (other than approved securities), and bad debts, where adequate provision has been made for such depreciation or debts.",BANKI15122014.pdf,343
900,900,Can a person be a director of two or more banking companies at the same time?,"No, a person cannot be a director of two or more banking companies at the same time, except for directors appointed by the Reserve Bank.",BANKI15122014.pdf,136
901,901,Can a banking company create a charge on unpaid capital or assets?,"No, a banking company cannot create a charge on unpaid capital or assets, and any such charge shall be invalid.",BANKI15122014.pdf,111
902,902,Can a banking company pay commission or brokerage on the sale of its shares?,"No, a banking company cannot pay commission or brokerage on the sale of its shares exceeding 2.5% of the paid-up value of the shares.",BANKI15122014.pdf,133
903,903,What is the minimum percentage of shares that may be required to be acquired in a banking company?,The Reserve Bank may specify the minimum percentage of shares to be acquired in a banking company if it considers that the purpose for which the shares are proposed to be acquired by the applicant warrants such minimum shareholding.,BANKI15122014.pdf,232
904,904,Can a banking company register the transfer of shares without the prior approval of the Reserve Bank?,"No, a banking company cannot register the transfer of shares without the prior approval of the Reserve Bank, and the transfer shall be invalid if such approval is not obtained.",BANKI15122014.pdf,176
905,905,What is the minimum percentage of profit that a banking company incorporated in India must transfer to its reserve fund each year?,Twenty percent,BANKI15122014.pdf,14
906,906,Can the Central Government exempt a banking company from the requirement of transferring a certain percentage of its profit to the reserve fund?,"Yes, the Central Government may, on the recommendation of the Reserve Bank, exempt a banking company from this requirement for a specified period.",BANKI15122014.pdf,146
907,907,What is the purpose of the cash reserve that a banking company must maintain with itself or with the Reserve Bank?,The cash reserve is maintained to secure monetary stability in the country.,BANKI15122014.pdf,75
908,908,How often must a banking company submit a return to the Reserve Bank showing the amount of cash reserve held by it?,A banking company must submit a return to the Reserve Bank before the twentieth day of every month.,BANKI15122014.pdf,99
909,909,What is the penalty for a banking company that fails to maintain the required cash reserve?,A banking company that fails to maintain the required cash reserve must pay penal interest at a rate of three per cent above the bank rate on the amount by which the balance falls short of the specified minimum.,BANKI15122014.pdf,211
910,910,Can the Reserve Bank grant exemptions from the provisions of the cash reserve requirement to a banking company?,"Yes, the Reserve Bank may grant exemptions from the provisions of the cash reserve requirement to a banking company for a specified period and subject to certain conditions.",BANKI15122014.pdf,173
911,911,What is the purpose of the restriction on the nature of subsidiary companies that a banking company can form?,The purpose of the restriction is to ensure that a banking company does not engage in any business that is not permissible for it to undertake.,BANKI15122014.pdf,143
912,912,Can a banking company form a subsidiary company for the purpose of carrying on the business of banking exclusively outside India?,"Yes, a banking company can form a subsidiary company for this purpose, but only with the previous permission in writing of the Reserve Bank.",BANKI15122014.pdf,140
913,913,What is the limit on the amount of shares that a banking company can hold in another company?,"A banking company cannot hold shares in another company exceeding thirty per cent of the paid-up share capital of that company or thirty per cent of its own paid-up share capital and reserves, whichever is less.",BANKI15122014.pdf,211
914,914,Can a banking company be deemed to be engaged indirectly in the business carried on by its subsidiary company?,"No, a banking company is not deemed to be engaged indirectly in the business carried on by its subsidiary company, for the purposes of section 8.",BANKI15122014.pdf,145
915,915,What is the provision for a banking company holding shares in contravention of the provisions of the sub-section?,"The banking company shall not be liable to any penalty if it reports the matter without delay to the Reserve Bank and brings its holding of shares into conformity with the said provisions within such period, not exceeding two years, as the Reserve Bank may think fit to allow.",BANKI15122014.pdf,276
916,916,Can a banking company hold shares in a company in which any managing director or manager of the banking company is concerned or interested?,"No, a banking company shall not, after the expiry of one year from the date of the commencement of this Act, hold shares, whether as pledgee, mortgage or absolute owner, in any company in the management of which any managing director or manager of the banking company is in any manner concerned or interested.",BANKI15122014.pdf,309
917,917,What is the provision for a banking company to form a subsidiary company to carry on the business of credit information?,"A banking company may form a subsidiary company to carry on the business of credit information in accordance with the Credit Information Companies (Regulation) Act, 2005.",BANKI15122014.pdf,170
918,918,What are the restrictions on loans and advances by a banking company?,"A banking company shall not grant any loans or advances on the security of its own shares, or enter into any commitment for granting any loan or advance to or on behalf of any of its directors, or any firm or company in which any of its directors is interested, or any individual in respect of whom any of its directors is a partner or guarantor.",BANKI15122014.pdf,346
919,919,What is the provision for the recovery of loans or advances granted by a banking company in contravention of the provisions of sub-section (1) of Section 20?,"The banking company shall take steps to recover the amounts due to it on account of the loan or advance, together with interest, if any, due thereon, within the period stipulated at the time of the grant of the loan or advance, or where no such period has been stipulated, before the expiry of one year from the commencement of Section 5 of the Banking Laws (Amendment) Act, 1968.",BANKI15122014.pdf,380
920,920,Can a banking company remit any debt due to it by any of its directors or any firm or company in which any of its directors is interested?,"No, a banking company shall not, except with the prior approval of the Reserve Bank, remit in whole or in part any debt due to it by any of its directors, or any firm or company in which any of its directors is interested as director, partner, managing agent or guarantor, or any individual if any of its directors is his partner or guarantor.",BANKI15122014.pdf,343
921,921,What is the power of the Reserve Bank to control advances by banking companies?,"The Reserve Bank may determine the policy in relation to advances to be followed by banking companies generally or by any banking company in particular, and when the policy has been so determined, all banking companies or the banking company concerned, as the case may be, shall be bound to follow the policy as so determined.",BANKI15122014.pdf,326
922,922,Can a banking company be directed by the Reserve Bank to follow a particular policy in relation to advances?,"Yes, the Reserve Bank may give directions to banking companies, either generally or to any banking company or group of banking companies in particular, as to the purposes for which advances may or may not be made, the margins to be maintained in respect of secured advances, and other matters.",BANKI15122014.pdf,293
923,923,What is the provision for the rates of interest charged by banking companies?,"Notwithstanding anything contained in the Usurious Loans Act, 1918, or any other law relating to indebtedness in force in any State, a transaction between a banking company and its debtor shall not be re-opened by any court on the ground that the rate of interest charged by the banking company in respect of such transaction is excessive.",BANKI15122014.pdf,339
924,924,What is the provision for the binding nature of the directions given by the Reserve Bank to banking companies?,"Every banking company shall be bound to comply with any directions given to it under Section 21 of the Banking Regulation Act, 1949.",BANKI15122014.pdf,132
925,925,What is the condition for a company to carry on banking business in India?,A company must hold a licence issued by the Reserve Bank and comply with the conditions imposed by the Reserve Bank.,BANKI15122014.pdf,116
926,926,What is the time limit for a banking company to apply for a licence under Section 22?,"Every banking company in existence on the commencement of this Act must apply for a licence within six months from the commencement of this Act, and every other company must apply before commencing banking business.",BANKI15122014.pdf,215
927,927,What are the conditions that the Reserve Bank may require to be satisfied before granting a licence under Section 22?,"The Reserve Bank may require to be satisfied that the company is or will be in a position to pay its present or future depositors in full as their claims accrue, and that the affairs of the company are not being or are not likely to be conducted in a manner detrimental to the interests of its present or future depositors.",BANKI15122014.pdf,323
928,928,Can the Reserve Bank cancel a licence granted to a banking company under Section 22?,"Yes, the Reserve Bank may cancel a licence granted to a banking company if the company ceases to carry on banking business in India, or if the company fails to comply with any of the conditions imposed upon it under sub-section (1), or if any of the conditions referred to in sub-section (3) is not fulfilled.",BANKI15122014.pdf,309
929,929,What is the procedure for a banking company to appeal against the decision of the Reserve Bank canceling a licence under Section 22?,A banking company aggrieved by the decision of the Reserve Bank canceling a licence may appeal to the Central Government within thirty days from the date on which such decision is communicated to it.,BANKI15122014.pdf,199
930,930,What is the restriction on opening of new places of business by a banking company under Section 23?,A banking company cannot open a new place of business in India or change the location of an existing place of business without obtaining the prior permission of the Reserve Bank.,BANKI15122014.pdf,178
931,931,What are the factors that the Reserve Bank may consider before granting permission for opening a new place of business under Section 23?,"The Reserve Bank may consider the financial condition and history of the company, the general character of its management, the adequacy of its capital structure and earning prospects, and whether public interest will be served by the opening of the new place of business.",BANKI15122014.pdf,271
932,932,Can the Reserve Bank revoke permission granted under Section 23 if a banking company fails to comply with the conditions imposed?,"Yes, the Reserve Bank may revoke permission granted under Section 23 if a banking company fails to comply with any of the conditions imposed on it.",BANKI15122014.pdf,147
933,933,What is the requirement for a regional rural bank to obtain permission under Section 23?,"A regional rural bank must forward its application to the Reserve Bank through the National Bank, which shall give its comments on the merits of the application and send it to the Reserve Bank.",BANKI15122014.pdf,193
934,934,What is the definition of 'place of business' under Section 23?,"A 'place of business' includes any sub-office, pay office, sub pay office, and any place of business at which deposits are received, cheques cashed, or moneys lent.",BANKI15122014.pdf,164
935,935,"What is the minimum percentage of demand and time liabilities that a banking company must maintain in cash, gold, or unencumbered approved securities?","Twenty-five per cent or such other percentage not exceeding forty per cent, as the Reserve Bank may, from time to time, by notification in the Official Gazette, specify.",BANKI15122014.pdf,169
936,936,"What is the frequency at which a banking company must furnish a return to the Reserve Bank showing particulars of its assets maintained in accordance with this section, and its demand and time liabilities in India?",Not later than twenty days after the end of the month to which it relates.,BANKI15122014.pdf,74
937,937,What is the penalty for a banking company that fails to maintain the minimum prescribed amount on an alternate Friday or preceding working day?,Penal interest at the rate of three per cent per annum above the bank rate on the amount by which the amount actually maintained falls short of the prescribed minimum on that day.,BANKI15122014.pdf,179
938,938,What happens if the default continues on the next succeeding alternate Friday or preceding working day?,The rate of penal interest shall be increased to a rate of five per cent per annum above the bank rate on each such shortfall in respect of that alternate Friday and each succeeding alternate Friday or preceding working day.,BANKI15122014.pdf,224
939,939,Can the Reserve Bank require a banking company to furnish a return showing particulars of its assets maintained in accordance with this section and its demand and time liabilities in India as at the close of business on each day of a month?,"Yes, the Reserve Bank may require a banking company to furnish such a return in the form and manner specified by it.",BANKI15122014.pdf,116
940,940,What is the penalty for a banking company that fails to pay the penal interest within the specified period?,The penalty may be levied by a direction of the principal civil court having jurisdiction in the area where an office of the defaulting banking company is situated.,BANKI15122014.pdf,164
941,941,Can the Reserve Bank waive the payment of penal interest if it is satisfied that the banking company had sufficient cause for its failure to comply with the provisions of sub-section (2A)?,"Yes, the Reserve Bank may not demand the payment of the penal interest if it is satisfied that the banking company had sufficient cause for its failure to comply with the provisions of sub-section (2A).",BANKI15122014.pdf,202
942,942,What is the definition of 'public holiday' in this section?,"A day which is a public holiday under the Negotiable Instruments Act, 1881 (26 of 1881).",BANKI15122014.pdf,88
943,943,Can the Reserve Bank specify the form and manner in which a banking company must maintain its assets in accordance with this section?,"Yes, the Reserve Bank may specify the form and manner in which a banking company must maintain its assets in accordance with this section.",BANKI15122014.pdf,138
944,944,"What is the consequence for a director, manager, or secretary of a banking company who is knowingly and willfully a party to the default in maintaining the minimum prescribed amount?","Such person shall be punishable with fine which may extend to five hundred rupees and with a further fine which may extend to five hundred rupees for each subsequent alternate Friday or preceding working day, as the case may be, on which the default continues.",BANKI15122014.pdf,260
945,945,What is the minimum percentage of assets that every banking company in India must maintain at the close of business on the last Friday of every quarter?,Seventy-five percent of its demand and time liabilities in India.,BANKI15122014.pdf,65
946,946,What is the purpose of the Depositor Education and Awareness Fund established by the Reserve Bank of India?,The Fund shall be utilised for promotion of depositors' interests and for such other purposes which may be necessary for the promotion of depositors' interests as may be specified by the Reserve Bank from time to time.,BANKI15122014.pdf,218
947,947,What is the time period within which a banking company must submit a return to the Reserve Bank showing its assets and liabilities in India?,Before the close of the month succeeding that to which it relates.,BANKI15122014.pdf,66
948,948,Can a depositor claim their deposit or unclaimed amount from a banking company after it has been credited to the Depositor Education and Awareness Fund?,"Yes, a depositor or any other claimant can claim their deposit or unclaimed amount or operate their account or deposit account from or with the banking company after the expiry of the said period of ten years.",BANKI15122014.pdf,209
949,949,What is the purpose of the return that every banking company must submit to the Reserve Bank within one month from the end of every quarter?,The return is to show the assets and liabilities of the banking company as at the close of business on the last Friday of the previous quarter.,BANKI15122014.pdf,143
950,950,Can the Reserve Bank direct a banking company to furnish it with statements and information relating to its business or affairs?,"Yes, the Reserve Bank may at any time direct a banking company to furnish it with such statements and information as the Reserve Bank may consider necessary or expedient to obtain for the purposes of this Act.",BANKI15122014.pdf,209
951,951,"What is the time period within which a banking company must submit a return to the Reserve Bank showing its assets and liabilities in India, in the case of a regional rural bank?",Every regional rural bank shall submit a copy of the return which it submits to the Reserve Bank under sub-section (1) also to the National Bank.,BANKI15122014.pdf,145
952,952,Can the Reserve Bank publish information obtained by it under this Act?,"Yes, the Reserve Bank or the National Bank, or both, if they consider it in the public interest so to do, may publish any information obtained by them under this Act in such consolidated form as they think fit.",BANKI15122014.pdf,210
953,953,What is the purpose of the authority or committee appointed by the Reserve Bank to administer the Depositor Education and Awareness Fund?,"The authority or committee shall administer the Fund, and maintain separate accounts and other relevant records in relation to the Fund in such forms as may be specified by the Reserve Bank.",BANKI15122014.pdf,190
954,954,Can a banking company claim a refund of the amount credited to the Depositor Education and Awareness Fund if it has paid the outstanding amount or allowed operation of the account?,"Yes, the banking company may apply for refund of such amount in such manner as may be specified by the authority or committee referred to in sub-section (5).",BANKI15122014.pdf,157
955,955,What is the requirement for a banking company to prepare a balance-sheet and profit and loss account under Section 29 of the Act?,Every banking company shall prepare a balance-sheet and profit and loss account at the expiration of each calendar year or at the expiration of a period of twelve months ending with such date as the Central Government may specify in this behalf.,BANKI15122014.pdf,245
956,956,Who is responsible for signing the balance-sheet and profit and loss account of a banking company incorporated in India?,"The balance-sheet and profit and loss account shall be signed by the manager or principal officer of the company and by at least three directors, or where there are not more than three directors, by all the directors.",BANKI15122014.pdf,217
957,957,What is the form in which the balance-sheet and profit and loss account of a banking company shall be prepared?,The balance-sheet and profit and loss account shall be prepared in the Forms set out in the Third Schedule or as near thereto as circumstances admit.,BANKI15122014.pdf,149
958,958,Can the Central Government amend the Form set out in the Third Schedule for preparing the balance-sheet and profit and loss account?,"Yes, the Central Government may, after giving not less than three months' notice, amend the Form set out in the Third Schedule by a notification in the Official Gazette.",BANKI15122014.pdf,169
959,959,What is the power of the Reserve Bank under Section 29A of the Act?,"The Reserve Bank may direct a banking company to annex to its financial statements or furnish to it separately, such statements and information relating to the business or affairs of any associate enterprise of the banking company as the Reserve Bank may consider necessary or expedient.",BANKI15122014.pdf,287
960,960,Who is responsible for conducting a special audit of a banking company's accounts under Section 30 of the Act?,"The Reserve Bank may, at any time, direct that a special audit of the banking company's accounts be conducted and may appoint a person duly qualified under any law to be an auditor of companies to conduct such special audit.",BANKI15122014.pdf,224
961,961,What are the powers of an auditor of a banking company under Section 30 of the Act?,"The auditor shall have the powers of, exercise the functions vested in, and discharge the duties and be subject to the liabilities and penalties imposed on, auditors of companies by Section 227 of the Companies Act, 1956.",BANKI15122014.pdf,221
962,962,What is the requirement for a banking company to obtain the previous approval of the Reserve Bank before appointing or reappointing an auditor?,"Every banking company shall, before appointing or reappointing an auditor, obtain the previous approval of the Reserve Bank.",BANKI15122014.pdf,124
